pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms
148,EXTEND,2,2,0,198.00,14.02
149,DECODE,140,0,140,232.17,5.38
150,EXTEND,1,1,0,198.00,13.63
151,DECODE,140,0,140,233.09,5.39
152,EXTEND,1,46,0,132.00,19.45
153,DECODE,140,0,140,233.30,5.29
154,EXTEND,1,1,0,132.00,13.08
155,DECODE,141,0,141,233.58,5.29
156,DECODE,141,0,141,234.58,5.22
157,DECODE,139,0,139,235.46,5.13
158,EXTEND,2,78,0,148.00,24.02
159,DECODE,141,0,141,235.22,5.28
160,DECODE,141,0,141,236.22,5.36
161,DECODE,140,0,140,237.16,5.36
162,EXTEND,2,2,0,148.00,14.41
163,DECODE,141,0,141,236.70,5.42
164,EXTEND,2,60,0,156.00,20.28
165,DECODE,142,0,142,236.61,5.33
166,EXTEND,1,1,0,164.00,13.63
167,DECODE,142,0,142,237.72,5.40
168,EXTEND,1,1,0,148.00,13.05
169,DECODE,142,0,142,238.54,5.26
170,EXTEND,1,1,0,148.00,13.56
171,DECODE,143,0,143,238.90,5.43
172,DECODE,143,0,143,239.90,5.36
173,DECODE,141,0,141,241.11,5.30
174,EXTEND,2,59,0,147.50,18.46
175,DECODE,142,0,142,241.39,5.38
176,EXTEND,2,2,0,147.00,14.07
177,DECODE,142,0,142,242.23,5.40
178,EXTEND,2,72,0,152.50,14.31
179,DECODE,143,0,143,241.64,5.19
180,EXTEND,2,2,0,158.00,13.64
181,DECODE,144,0,144,241.35,5.13
182,EXTEND,1,1,0,158.00,13.14
183,DECODE,140,0,140,243.10,5.16
184,EXTEND,3,586,0,283.00,22.81
185,DECODE,142,0,142,244.96,5.30
186,EXTEND,2,2,0,198.00,13.65
187,DECODE,142,0,142,245.99,5.29
188,EXTEND,3,73,0,355.33,23.29
189,DECODE,142,0,142,250.06,5.16
190,EXTEND,3,3,0,257.67,14.07
191,DECODE,143,0,143,252.56,5.42
192,EXTEND,2,46,0,146.00,15.83
193,DECODE,143,0,143,252.81,5.41
194,EXTEND,2,2,0,132.00,14.41
195,DECODE,143,0,143,252.53,5.21
196,EXTEND,3,59,0,122.00,15.72
197,DECODE,145,0,145,250.79,6.60
198,EXTEND,1,65,0,152.00,21.77
199,DECODE,145,0,145,251.39,5.45
200,EXTEND,2,2,0,134.50,14.91
201,DECODE,146,0,146,251.45,5.33
202,EXTEND,1,1,0,117.00,13.77
203,DECODE,144,0,144,252.24,5.25
204,EXTEND,2,2,0,152.00,13.68
205,DECODE,145,0,145,252.29,5.56
206,EXTEND,2,326,0,251.00,18.10
207,DECODE,146,0,146,253.94,5.50
208,EXTEND,1,1,0,251.00,13.60
209,DECODE,147,0,147,254.92,5.74
210,DECODE,147,0,147,255.92,5.63
211,DECODE,145,0,145,257.70,5.61
212,EXTEND,2,86,0,211.50,23.27
213,DECODE,142,0,142,259.39,5.10
214,EXTEND,4,43,0,161.00,19.65
215,DECODE,146,0,146,257.70,5.73
216,DECODE,146,0,146,258.70,5.52
217,DECODE,144,0,144,259.85,5.30
218,EXTEND,4,62,0,132.75,19.07
219,DECODE,147,0,147,257.78,5.58
220,EXTEND,2,2,0,147.00,14.45
221,DECODE,147,0,147,257.90,5.70
222,EXTEND,2,32,0,133.50,14.44
223,DECODE,148,0,148,257.49,5.75
224,EXTEND,2,2,0,120.00,13.94
225,DECODE,149,0,149,256.52,5.62
226,EXTEND,1,1,0,120.00,14.08
227,DECODE,150,0,150,256.61,5.39
228,DECODE,150,0,150,257.61,5.58
229,DECODE,149,0,149,258.94,5.52
230,EXTEND,2,152,0,167.00,13.90
231,DECODE,147,0,147,259.99,5.52
232,EXTEND,3,58,0,159.33,18.45
233,DECODE,149,0,149,259.06,5.76
234,EXTEND,2,2,0,144.00,14.28
235,DECODE,149,0,149,258.47,5.67
236,EXTEND,2,39,0,137.00,17.85
237,DECODE,151,0,151,257.86,5.75
238,DECODE,151,0,151,258.86,5.67
239,DECODE,150,0,150,259.50,5.81
240,EXTEND,2,2,0,130.00,14.39
241,DECODE,148,0,148,258.95,5.75
242,EXTEND,3,81,0,129.33,22.39
243,DECODE,151,0,151,257.37,5.62
244,DECODE,151,0,151,258.37,5.58
245,DECODE,148,0,148,257.66,5.56
246,EXTEND,4,148,0,144.00,20.27
247,DECODE,151,0,151,256.28,5.57
248,EXTEND,2,79,0,162.50,14.49
249,DECODE,150,0,150,252.90,5.73
250,EXTEND,3,3,0,163.67,14.52
251,DECODE,151,0,151,253.19,5.69
252,EXTEND,2,78,0,165.50,16.31
253,DECODE,152,0,152,253.00,5.66
254,EXTEND,2,2,0,165.00,13.76
255,DECODE,153,0,153,253.19,6.41
256,EXTEND,1,1,0,165.00,14.08
257,DECODE,154,0,154,253.62,5.73
258,DECODE,154,0,154,254.62,6.61
259,DECODE,154,0,154,255.62,6.16
260,DECODE,153,0,153,257.36,6.38
261,EXTEND,2,704,0,442.00,19.11
262,DECODE,153,0,153,259.76,5.87
263,EXTEND,2,2,0,442.00,14.55
264,DECODE,150,0,150,264.32,5.66
265,EXTEND,4,412,0,190.00,29.02
266,DECODE,153,0,153,263.80,5.79
267,EXTEND,2,66,0,125.00,14.51
268,DECODE,155,0,155,263.01,5.76
269,DECODE,155,0,155,264.01,5.80
270,DECODE,152,0,152,265.99,5.64
271,EXTEND,3,67,0,134.33,22.16
272,DECODE,151,0,151,264.57,5.69
273,EXTEND,4,131,0,168.25,20.07
274,DECODE,154,0,154,263.82,5.75
275,EXTEND,3,3,0,214.00,14.44
276,DECODE,155,0,155,264.74,5.64
277,EXTEND,2,443,0,309.00,27.40
278,DECODE,151,0,151,263.59,5.80
279,EXTEND,5,5,0,335.80,15.39
280,DECODE,156,0,156,266.90,5.70
281,DECODE,156,0,156,267.90,5.69
282,DECODE,156,0,156,268.90,5.72
283,DECODE,155,0,155,270.55,5.73
