time_s,turn,step
20.441968,1,1
0.000000,2,1
20.903695,1,2
0.000000,2,2
20.896952,1,3
0.000000,2,3
19.637174,1,4
0.000000,2,4
19.653423,1,5
0.000000,2,5
19.575352,1,6
0.000000,2,6
19.124239,1,7
0.000000,2,7
19.866772,1,8
0.000000,2,8
18.328708,1,9
0.000000,2,9
18.761752,1,10
0.000000,2,10
19.834446,1,11
0.000000,2,11
18.572421,1,12
0.000000,2,12
