pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms
10753,DECODE,2,0,2,1354.00,6.79
9424,DECODE,5,0,5,1047.00,7.01
4331,DECODE,3,0,3,1198.33,6.96
3741,DECODE,2,0,2,1157.50,6.79
10754,DECODE,2,0,2,1355.00,6.78
9425,DECODE,5,0,5,1048.00,7.00
4332,DECODE,3,0,3,1199.33,6.93
3742,DECODE,2,0,2,1158.50,6.78
10755,DECODE,2,0,2,1356.00,6.78
9426,DECODE,5,0,5,1049.00,7.03
3743,DECODE,2,0,2,1159.50,6.84
4333,DECODE,3,0,3,1200.33,6.94
10756,DECODE,2,0,2,1357.00,6.79
9427,DECODE,5,0,5,1050.00,7.00
3744,DECODE,2,0,2,1160.50,6.78
4334,DECODE,3,0,3,1201.33,6.90
10757,DECODE,2,0,2,1358.00,6.78
9428,DECODE,5,0,5,1051.00,7.02
3745,DECODE,2,0,2,1161.50,6.79
4335,DECODE,3,0,3,1202.33,6.90
10758,DECODE,2,0,2,1359.00,6.80
9429,DECODE,5,0,5,1052.00,7.03
3746,DECODE,2,0,2,1162.50,6.78
4336,DECODE,3,0,3,1203.33,6.95
10759,DECODE,2,0,2,1360.00,6.80
9430,DECODE,5,0,5,1053.00,7.03
3747,DECODE,2,0,2,1163.50,6.77
4337,DECODE,3,0,3,1204.33,6.93
10760,DECODE,2,0,2,1361.00,6.79
9431,DECODE,5,0,5,1054.00,7.03
3748,DECODE,2,0,2,1164.50,6.78
10761,DECODE,2,0,2,1362.00,6.78
4338,DECODE,3,0,3,1205.33,6.94
9432,DECODE,5,0,5,1055.00,7.02
3749,DECODE,2,0,2,1165.50,6.78
10762,DECODE,2,0,2,1363.00,6.78
4339,DECODE,3,0,3,1206.33,6.96
9433,DECODE,5,0,5,1056.00,7.00
3750,DECODE,2,0,2,1166.50,6.80
10763,DECODE,2,0,2,1364.00,6.80
4340,DECODE,3,0,3,1207.33,6.98
9434,DECODE,5,0,5,1057.00,7.02
3751,DECODE,2,0,2,1167.50,6.79
10764,DECODE,2,0,2,1365.00,6.79
4341,DECODE,3,0,3,1208.33,6.97
9435,DECODE,5,0,5,1058.00,7.04
3752,DECODE,2,0,2,1168.50,6.80
10765,DECODE,2,0,2,1366.00,6.79
4342,DECODE,3,0,3,1209.33,6.96
9436,DECODE,5,0,5,1059.00,7.01
3753,DECODE,2,0,2,1169.50,6.80
10766,DECODE,2,0,2,1367.00,6.79
9437,DECODE,5,0,5,1060.00,7.07
4343,DECODE,3,0,3,1210.33,6.97
3754,DECODE,2,0,2,1170.50,6.80
10767,DECODE,2,0,2,1368.00,6.80
9438,DECODE,5,0,5,1061.00,7.04
4344,DECODE,3,0,3,1211.33,6.98
3755,DECODE,2,0,2,1171.50,6.79
10768,DECODE,2,0,2,1369.00,6.78
9439,DECODE,5,0,5,1062.00,7.02
4345,DECODE,3,0,3,1212.33,6.97
3756,DECODE,2,0,2,1172.50,6.79
10769,DECODE,2,0,2,1370.00,6.79
9440,DECODE,5,0,5,1063.00,7.04
3757,DECODE,2,0,2,1173.50,6.79
4346,DECODE,3,0,3,1213.33,6.99
10770,DECODE,2,0,2,1371.00,6.79
9441,DECODE,5,0,5,1064.00,7.02
3758,DECODE,2,0,2,1174.50,6.78
4347,DECODE,3,0,3,1214.33,6.95
10771,DECODE,2,0,2,1372.00,6.81
9442,DECODE,5,0,5,1065.00,7.02
