pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms
36,DECODE,43,0,43,182.79,7.46
38,EXTEND,2,133,0,153.00,14.56
40,EXTEND,4,272,0,154.50,20.72
37,DECODE,41,0,41,184.15,7.53
39,DECODE,40,0,40,182.53,7.43
39,EXTEND,1,76,0,163.00,16.91
41,DECODE,43,0,43,183.37,7.57
38,EXTEND,2,150,0,162.00,15.34
40,DECODE,43,0,43,188.26,7.56
42,DECODE,43,0,43,184.37,7.52
40,EXTEND,3,225,0,162.00,14.35
39,DECODE,43,0,43,184.12,7.47
41,DECODE,43,0,43,189.26,7.57
43,DECODE,42,0,42,185.24,7.51
41,DECODE,43,0,43,182.09,7.54
40,DECODE,43,0,43,185.12,7.47
42,DECODE,43,0,43,190.26,7.53
42,DECODE,43,0,43,183.09,7.49
41,DECODE,43,0,43,186.12,7.47
44,EXTEND,2,159,0,166.50,14.19
43,DECODE,42,0,42,191.48,7.54
43,DECODE,43,0,43,184.09,7.48
42,DECODE,40,0,40,185.22,7.48
45,DECODE,43,0,43,184.86,7.53
44,DECODE,42,0,42,184.79,7.47
44,EXTEND,1,57,0,143.00,14.04
43,EXTEND,3,224,0,161.00,10.70
45,EXTEND,2,152,0,163.00,10.24
46,EXTEND,1,60,0,146.00,14.16
45,DECODE,41,0,41,190.29,7.56
44,DECODE,42,0,42,184.19,7.48
46,DECODE,43,0,43,184.09,7.48
47,DECODE,44,0,44,184.98,7.53
46,EXTEND,2,159,0,166.50,14.21
48,DECODE,44,0,44,185.98,7.55
45,EXTEND,2,125,0,149.50,16.31
47,EXTEND,1,77,0,163.00,16.35
47,DECODE,42,0,42,189.69,7.57
49,DECODE,44,0,44,186.98,7.54
46,DECODE,44,0,44,183.61,7.51
48,DECODE,44,0,44,184.61,7.52
50,DECODE,44,0,44,187.98,7.56
47,DECODE,44,0,44,184.61,7.49
48,EXTEND,2,152,0,163.00,10.78
49,DECODE,44,0,44,185.61,7.49
51,DECODE,44,0,44,188.98,7.58
48,DECODE,43,0,43,185.49,7.47
49,DECODE,44,0,44,189.48,7.57
50,DECODE,44,0,44,186.61,7.50
52,DECODE,42,0,42,189.29,7.53
50,DECODE,44,0,44,190.48,7.54
51,DECODE,44,0,44,187.61,7.50
49,EXTEND,1,85,0,173.00,15.58
53,EXTEND,2,152,0,163.00,10.74
51,DECODE,43,0,43,191.09,7.52
52,DECODE,43,0,43,188.40,7.50
50,DECODE,43,0,43,185.70,7.51
54,DECODE,44,0,44,189.09,7.53
55,DECODE,44,0,44,190.09,7.53
53,EXTEND,1,60,0,146.00,13.79
52,EXTEND,1,77,0,163.00,16.38
51,EXTEND,1,74,0,160.00,15.90
56,DECODE,44,0,44,191.09,7.52
54,DECODE,43,0,43,187.51,7.54
53,DECODE,42,0,42,191.74,7.52
52,DECODE,43,0,43,185.81,7.48
57,DECODE,44,0,44,192.09,7.54
54,EXTEND,2,134,0,153.00,15.16
58,DECODE,44,0,44,193.09,7.55
55,EXTEND,1,74,0,160.00,16.51
53,EXTEND,1,97,0,183.00,14.74
59,DECODE,44,0,44,194.09,7.55
55,DECODE,44,0,44,190.98,7.55
56,DECODE,43,0,43,187.33,7.51
54,DECODE,44,0,44,186.75,7.48
60,DECODE,44,0,44,195.09,7.54
56,DECODE,44,0,44,191.98,7.53
55,DECODE,44,0,44,187.75,7.46
57,EXTEND,1,97,0,183.00,15.36
61,DECODE,44,0,44,196.09,7.56
57,DECODE,44,0,44,192.98,7.52
56,DECODE,43,0,43,188.16,7.47
58,DECODE,44,0,44,188.23,7.52
62,DECODE,44,0,44,197.09,7.52
58,DECODE,43,0,43,193.40,7.52
59,DECODE,44,0,44,189.23,7.50
63,DECODE,44,0,44,198.09,7.55
57,EXTEND,1,77,0,163.00,15.98
60,DECODE,43,0,43,190.14,7.47
59,EXTEND,1,97,0,183.00,15.57
64,DECODE,44,0,44,199.09,7.52
58,DECODE,44,0,44,188.59,7.52
60,DECODE,44,0,44,194.16,7.54
65,DECODE,43,0,43,200.44,7.51
59,DECODE,44,0,44,189.59,7.50
61,DECODE,44,0,44,195.16,7.53
61,EXTEND,1,78,0,164.00,17.77
