pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms
39,EXTEND,8,108,0,340.50,16.00
40,DECODE,11,0,11,351.36,6.98
39,EXTEND,2,26,0,340.50,14.44
38,EXTEND,8,108,0,340.50,18.19
41,DECODE,11,0,11,352.36,6.95
40,DECODE,12,0,12,353.50,7.00
39,DECODE,10,0,10,348.70,7.07
42,DECODE,10,0,10,350.90,6.92
41,DECODE,12,0,12,354.50,6.95
43,DECODE,10,0,10,351.90,6.93
40,DECODE,10,0,10,349.70,7.03
42,DECODE,11,0,11,353.36,7.01
44,DECODE,10,0,10,352.90,6.97
43,DECODE,11,0,11,354.36,7.01
41,DECODE,10,0,10,350.70,7.02
45,DECODE,10,0,10,353.90,6.97
44,DECODE,11,0,11,355.36,7.01
42,DECODE,10,0,10,351.70,7.00
46,DECODE,10,0,10,354.90,6.97
45,DECODE,11,0,11,356.36,7.04
43,DECODE,9,0,9,349.78,7.15
47,DECODE,10,0,10,355.90,7.00
46,DECODE,11,0,11,357.36,7.05
44,DECODE,9,0,9,350.78,7.08
37,DECODE,1,0,1,374.00,7.96
48,DECODE,10,0,10,356.90,7.01
47,EXTEND,8,129,0,342.62,17.71
45,EXTEND,8,129,0,342.62,16.55
38,EXTEND,16,237,0,341.56,19.54
49,EXTEND,8,129,0,342.62,19.44
48,DECODE,16,0,16,346.06,7.06
46,DECODE,17,0,17,347.94,7.29
39,DECODE,17,0,17,344.47,7.34
50,DECODE,17,0,17,349.29,7.30
49,DECODE,16,0,16,347.06,7.01
47,DECODE,17,0,17,348.94,7.36
40,DECODE,17,0,17,345.47,7.27
50,DECODE,16,0,16,348.06,6.99
51,DECODE,17,0,17,350.29,7.47
48,DECODE,16,0,16,347.56,7.10
51,DECODE,16,0,16,349.06,7.00
41,DECODE,17,0,17,346.47,7.27
52,DECODE,17,0,17,351.29,7.46
49,DECODE,16,0,16,348.56,7.07
52,DECODE,16,0,16,350.06,7.00
42,DECODE,17,0,17,347.47,7.24
53,DECODE,17,0,17,352.29,7.26
50,DECODE,16,0,16,349.56,7.04
53,DECODE,16,0,16,351.06,7.01
43,DECODE,17,0,17,348.47,7.26
54,DECODE,17,0,17,353.29,7.23
51,DECODE,16,0,16,350.56,7.04
54,DECODE,16,0,16,352.06,7.03
44,DECODE,17,0,17,349.47,7.26
55,DECODE,17,0,17,354.29,7.22
52,DECODE,16,0,16,351.56,7.03
55,DECODE,16,0,16,353.06,7.03
45,DECODE,17,0,17,350.47,7.36
53,DECODE,16,0,16,352.56,7.03
56,DECODE,16,0,16,353.06,8.10
56,DECODE,16,0,16,354.06,7.02
46,DECODE,17,0,17,351.47,7.29
54,DECODE,16,0,16,353.56,7.00
57,DECODE,16,0,16,354.06,7.01
57,DECODE,16,0,16,355.06,7.04
55,EXTEND,8,124,0,342.00,17.74
58,EXTEND,8,124,0,342.00,20.94
58,EXTEND,8,124,0,342.00,23.33
47,EXTEND,7,104,0,341.43,13.19
56,EXTEND,8,116,0,340.88,15.89
59,EXTEND,8,116,0,340.88,15.45
48,EXTEND,9,136,0,341.44,13.16
57,DECODE,32,0,32,348.50,7.34
59,EXTEND,8,116,0,340.88,20.17
60,DECODE,32,0,32,348.75,7.31
49,DECODE,33,0,33,347.61,8.67
58,DECODE,32,0,32,349.50,7.33
61,DECODE,32,0,32,349.75,7.26
60,DECODE,32,0,32,349.25,7.39
59,DECODE,32,0,32,350.50,7.31
50,DECODE,33,0,33,348.61,7.57
62,DECODE,32,0,32,350.75,7.25
61,DECODE,32,0,32,350.25,7.43
60,DECODE,32,0,32,351.50,7.30
51,DECODE,33,0,33,349.61,7.55
63,DECODE,32,0,32,351.75,7.27
62,DECODE,32,0,32,351.25,7.52
61,DECODE,31,0,31,352.26,7.32
64,DECODE,32,0,32,352.75,7.26
52,DECODE,33,0,33,350.61,7.56
63,DECODE,30,0,30,351.70,7.48
62,DECODE,31,0,31,353.26,7.32
65,DECODE,31,0,31,353.48,7.30
53,DECODE,32,0,32,350.50,7.40
64,DECODE,30,0,30,352.70,7.47
63,DECODE,31,0,31,354.26,7.30
66,DECODE,29,0,29,353.83,7.33
54,DECODE,32,0,32,351.50,7.35
64,DECODE,31,0,31,355.26,7.29
65,DECODE,30,0,30,353.70,7.51
67,DECODE,29,0,29,354.83,7.28
55,DECODE,32,0,32,352.50,7.37
65,DECODE,31,0,31,356.26,7.32
66,DECODE,30,0,30,354.70,7.42
68,DECODE,29,0,29,355.83,7.32
56,DECODE,32,0,32,353.50,7.38
66,DECODE,31,0,31,357.26,7.37
67,DECODE,29,0,29,355.41,7.36
69,DECODE,28,0,28,356.39,7.34
57,DECODE,32,0,32,354.50,7.37
67,DECODE,30,0,30,357.87,7.40
68,DECODE,29,0,29,356.41,7.46
70,DECODE,26,0,26,356.42,7.31
58,DECODE,32,0,32,355.50,7.38
69,DECODE,28,0,28,357.00,7.33
68,DECODE,28,0,28,358.25,7.32
71,DECODE,26,0,26,357.42,7.36
59,DECODE,32,0,32,356.50,7.36
69,DECODE,28,0,28,359.25,7.28
70,DECODE,26,0,26,357.08,7.30
72,DECODE,24,0,24,357.88,7.26
60,DECODE,32,0,32,357.50,7.36
70,DECODE,27,0,27,359.96,7.33
71,DECODE,23,0,23,356.65,7.21
73,DECODE,24,0,24,358.88,7.23
61,DECODE,32,0,32,358.50,7.35
72,DECODE,23,0,23,357.65,7.21
71,DECODE,27,0,27,360.96,7.36
74,DECODE,24,0,24,359.88,7.24
